"場所\ﾀｽｸ名"	"状態"	"説明"	"ﾀｽｸの実行時に使うﾕｰｻﾞｰ ｱｶｳﾝﾄ"	"(実行種別)"	"最上位の特権で実行する"	"表示しない"	"構成"	"ﾀｽｸの開始"	"遅延時間を指定する"	"遅延時間"	"繰り返し間隔"	"繰り返し間隔"	"継続時間"	"繰り返し継続時間の最後に実行中のすべてのﾀｽｸを停止する"	"停止するまでの時間"	"停止するまでの時間"	"開始/ｱｸﾃｨﾌﾞ化"	"開始/ｱｸﾃｨﾌﾞ化"	"有効期限"	"有効期限"	"有効"	"操作"	"次の間ｱｲﾄﾞﾙ状態の場合のみﾀｽｸを開始する"	"時間"	"ｱｲﾄﾞﾙ状態になるのを待機する時間"	"ｺﾝﾋﾟｭｰﾀがｱｲﾄﾞﾙ状態でなくなった場合は停止する"	"再びｱｲﾄﾞﾙ状態になったら再開する"	"ｺﾝﾋﾟｭｰﾀをAC電源で使用している場合のみﾀｽｸを開始する"	"ｺﾝﾋﾟｭｰﾀの電源をﾊﾞｯﾃﾘに切り替える場合は停止する"	"ﾀｽｸを実行するためにｽﾘｰﾌﾟを解除する"	"次のﾈｯﾄﾜｰｸ接続が使用可能な場合のみﾀｽｸを開始する"	"ﾈｯﾄﾜｰｸ接続"	"ﾀｽｸを要求時に実行する"	"ｽｹｼﾞｭｰﾙされた時刻にﾀｽｸを開始できなかった場合、すぐにﾀｽｸを実行する"	"ﾀｽｸが失敗した場合の再起動の間隔"	"間隔"	"再起動試行の最大数"	"ﾀｽｸを停止するまでの時間"	"時間"	"要求時に実行中のﾀｽｸが終了しない場合、ﾀｽｸを強制的に停止する"	"ﾀｽｸの再実行がｽｹｼﾞｭｰﾙされていない場合に削除されるまでの時間"	"時間"	"ﾀｽｸが既に実行中の場合に適用される規則"
"\Microsoft\Windows\CertificateServicesClient\SystemTask"	"有効"	"証明書サービス クライアントは、ユーザーおよびマシンの証明書、キー、資格情報などのデジタル識別情報を自動的に管理して、登録、移動、その他のサービスを可能にします。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA32A1E890D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{58FB76B9-AC85-4E55-AC04-427593B1D060} Data:SYSTEM"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"1分間"	"5"	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾀｽｸの作成/変更時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"10秒間"	"レ"	"8時間"	"無期限"	"□"	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\CertificateServicesClient\UserTask"	"有効"	"証明書サービス クライアントは、ユーザーおよびマシンの証明書、キー、資格情報などのデジタル識別情報を自動的に管理して、登録、移動、その他のサービスを可能にします。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:F510BCA32A1E890D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{58FB76B9-AC85-4E55-AC04-427593B1D060} Data:USER"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"1分間"	"5"	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾀｽｸの作成/変更時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"レ"	"8時間"	"無期限"	"□"	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｲﾍﾞﾝﾄ時 設定:ｲﾍﾞﾝﾄﾌｨﾙﾀｰ:<QueryList><Query Id=""0"" Path=""Microsoft-Windows-User Device Registration/Admin""><Select Path=""Microsoft-Windows-User Device Registration/Admin"">*[System[Provider[@Name='Microsoft-Windows-User Device Registration'] and EventID=300]]</Select></Query></QueryList>"	"レ"	"25分間"	"レ"	"1時間"	"4時間"	"□"	"レ"	"30分間"	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\CertificateServicesClient\UserTask-Roam"	"有効"	"証明書サービス クライアントは、ユーザーおよびマシンの証明書、キー、資格情報などのデジタル識別情報を自動的に管理して、登録、移動、その他のサービスを可能にします。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ﾜｰｸｽﾃｰｼｮﾝ ﾛｯｸ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{58FB76B9-AC85-4E55-AC04-427593B1D060} Data:KEYROAMING"	"□"	""	""	""	""	"レ"	"レ"	"□"	"レ"	"任意の接続"	"レ"	"□"	"レ"	"1分間"	"5"	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ﾜｰｸｽﾃｰｼｮﾝ ｱﾝﾛｯｸ時 設定:任意のﾕｰｻﾞｰ"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Chkdsk\ProactiveScan"	"有効"	"NTFS ボリューム状態スキャン"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{CF4270F5-2E43-4468-83B3-A8C45BB33EA1}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Clip\License Validation"	"無効"	"Windows Store legacy license migration task"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\system32\ClipUp.exe 引数の追加:-p -s -o"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\CloudExperienceHost\CreateObjectTask"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{E4544ABA-62BF-4C54-AAB2-EC246342626C}"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"□"	"□"	""	""	"レ"	"1時間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Customer Experience Improvement Program\Consolidator"	"有効"	"Windows カスタマー エクスペリエンス向上プログラムに参加する場合は、使用データが Microsoft へ送信されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"□"	""	"レ"	"6時間"	"無期限"	"□"	"□"	""	"レ"	"2004-01-02 00:00:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%SystemRoot%\System32\wsqmcons.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask"	"有効"	"カーネル CEIP (カスタマー エクスペリエンス向上プログラム) タスクは、システムの追加情報を収集し、そのデータを Microsoft に送信します。ユーザーが Windows CEIP への参加に合意していない場合は、タスクは何も実行されません。"	"NT AUTHORITY\LOCAL SERVICE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{E7ED314F-2816-4C26-AEB5-54A34D02404C}"	"□"	""	""	""	""	"レ"	"□"	"□"	"□"	""	"レ"	"レ"	"レ"	"45分間"	"1"	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip"	"有効"	"USB CEIP (カスタマー エクスペリエンス向上プログラム) タスクは、ご使用のコンピューターのユニバーサル シリアル バス関連の統計情報を収集し、Microsoft の Windows Device Connectivity エンジニアリング グループに送信します。送信された情報は、Windows における USB の信頼性、安定性、および全体的な機能向上のために使用されます。ユーザーが Windows CEIP への参加に同意していない場合、このタスクは何も行いません。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{C27F6B1D-FE0B-45E4-9257-38799FA69BC8} Data:SYSTEM"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan"	"有効"	"フォールト トレラント ボリュームの潜在的な破損をスキャンします"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:毎週 間隔(週):4 曜日:土"	"レ"	"7日間"	"□"	""	""	""	"□"	""	"レ"	"2011-01-01 23:00:00"	"□"	""	"□"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{DCFD3EA8-D960-4719-8206-490AE315F94F}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｽﾀｰﾄｱｯﾌﾟ時 設定:(なし)"	"レ"	"1時間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery"	"有効"	"フォールト トレラント ボリュームの高速クラッシュ回復機能をスキャンします"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA32907950A"	"レ"	"5分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{DCFD3EA8-D960-4719-8206-490AE315F94F} Data:-CrashRecovery"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Defrag\ScheduledDefrag"	"有効"	"このタスクにより、ローカル記憶域ドライブが最適化されます。"	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"レ"	"□"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\defrag.exe 引数の追加:-c -h -o -$"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
"\Microsoft\Windows\Device Information\Device"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"□"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"2時間"	"レ"	"1日間"	"無期限"	"□"	"□"	""	"レ"	"2008-09-01 03:00:00"	"□"	""	"レ"	"操作:ﾌﾟﾛｸﾞﾗﾑの開始 設定:ﾌﾟﾛｸﾞﾗﾑ/ｽｸﾘﾌﾟﾄ:%windir%\system32\devicecensus.exe"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"4日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:750CBCA3290B9641"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"□"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Device Setup\Metadata Refresh"	"有効"	"デバイス メタデータの更新を定期的に実行します"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{23C1F3CF-C110-4512-ACA9-7B6174ECE888}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"レ"	"任意の接続"	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\HandleCommand"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BDA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-HandleCommand"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\HandleWnsCommand"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7528BDA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-WnsCommand"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\IntegrityCheck"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"2日間"	"レ"	"6日間"	"無期限"	"□"	"□"	""	"レ"	"2015-01-01 12:00:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-IntegrityCheck"	"レ"	"1分間"	"8日間"	"□"	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"レ"	"12時間"	"10"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\LocateCommandUserSession"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BDA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-UserSessionCommand"	"□"	""	""	""	""	"□"	""	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceAccountChange"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7540BCA33E0B8441"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -AccountChange"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"10"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7560BDA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceLocationRightsChange"	"無効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7538BCA321089541"	"レ"	"10分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -SettingChange -NoLocation"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"1"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDevicePeriodic24"	"無効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｽｹｼﾞｭｰﾙに従う 設定:1回"	"レ"	"16時間"	"レ"	"16時間"	"無期限"	"□"	"□"	""	"レ"	"2015-01-01 06:00:00"	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -Periodic"	"レ"	"1分間"	"-E Time=P1DT8H"	"□"	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"1"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDevicePolicyChange"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7548BCA321078541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -SettingChange -NoLocation"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"10"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7508BCA32A1E890D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceProtectionStateChanged"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7540BEA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -ProtectionStateChanged -FreeNetworkOnly -NoLocation"	"□"	""	""	""	""	"レ"	"レ"	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"10"	"□"	""	"レ"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
"\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceSettingChange"	"有効"	""	"NT AUTHORITY\SYSTEM"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているかどうかにかかわらず実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:75F8BCA33E06830D"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterDevice -SettingChange -Full"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"1"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7520BCA321078541"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\DeviceDirectoryClient\RegisterUserDevice"	"有効"	""	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"□"	"レ"	"Windows 10"	"ﾀｽｸの開始:ﾛｸﾞｵﾝ時 設定:任意のﾕｰｻﾞｰ"	"レ"	"15分間"	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{AE31B729-D5FD-401E-AF42-784074835AFE} Data:-RegisterUserDevice -NewAccount"	"□"	""	""	""	""	"□"	""	"□"	"レ"	"任意の接続"	"レ"	"レ"	"レ"	"12時間"	"10"	"□"	""	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを並列で実行"
""	""	""	""	""	""	""	""	"ﾀｽｸの開始:ｶｽﾀﾑ ﾄﾘｶﾞｰ 設定:StateName:7540BCA33E0B8441"	"□"	""	"□"	""	""	""	"□"	""	"□"	""	"□"	""	"レ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"\Microsoft\Windows\Diagnosis\Scheduled"	"有効"	"Windows のスケジュールされたメンテナンス タスクは、コンピューター システムのメンテナンスを定期的に実行し、問題を自動解決するか、セキュリティとメンテナンスを通じて報告します。"	"NT AUTHORITY\INTERACTIVE"	"ﾕｰｻﾞｰがﾛｸﾞｵﾝしているときのみ実行する"	"レ"	"レ"	"Windows 10"	"ﾀｽｸの開始:(未定義)"	""	""	""	""	""	""	""	""	""	""	""	""	""	"操作:ｶｽﾀﾑ ﾊﾝﾄﾞﾗｰ 設定:ClassId:{C1F85EF8-BCC2-4606-BB39-70C523715EB3}"	"□"	""	""	""	""	"レ"	"レ"	"□"	"□"	""	"レ"	"レ"	"□"	""	""	"レ"	"3日間"	"□"	"□"	""	"新しいｲﾝｽﾀﾝｽを開始しない"
